timestamp,username,repository,files,additions,deletions
1610969774,user0,repo2,5,153,0
1610963057,user0,repo2,2,16,12
1614333792,user1,repo3,1,1,1
1614249997,,repo3,1,1,1
1613048665,user1,repo3,1,3,1
1613048482,user2,repo3,1,3,1
1611163396,user2,repo3,11,23,96
1611162647,user2,repo3,11,23,96
1608548149,user3,repo3,1,25,0
1608545272,user4,repo3,1,25,0
1615400112,user5,repo4,1,1,0
1615399401,,repo4,9,30,6
1615399176,user6,repo4,1,1,1
1615398859,,repo4,3,10,2
1615398627,user6,repo4,1,0,1
1615398359,,repo4,9,36,6
1615398128,user5,repo4,5,13310,920
1615397608,user5,repo4,2,6,6
1615397108,user5,repo4,2,6,7
1615396719,,repo4,9,33,6
1615396677,user5,repo4,2,1,2
1615396451,,repo4,9,39,6
1615396382,user5,repo4,12,12,94
1615395776,,repo4,9,30,6
1615395692,user6,repo4,1,1,1
1615395447,,repo4,6,20,4
1615395378,user6,repo4,1,1,1
1615395225,user6,repo4,1,1,1
1615308048,,repo4,3,13,2
1615307963,user5,repo4,1,1,1
1615307377,user5,repo4,2,2,0
1615305887,,repo4,12,47,9
1615305795,user5,repo4,24,30,8224
1615289387,user7,repo4,9,9301,2092
1615213955,user7,repo4,3,7,6
1614881112,user6,repo4,5,6,13
1614881081,user6,repo4,2,2,2
1614880944,user6,repo4,2,2,2
1614880879,user6,repo4,1,2,9
1614870121,user6,repo4,2,2,2
1614869465,user6,repo4,2,2,2
1614768037,user7,repo4,16,1089,452
1614621119,user6,repo4,7,6,8
1614620960,user6,repo4,2,2,2
1614620834,user6,repo4,2,2,2
1614620716,user6,repo4,3,2,4
1614363424,user6,repo4,2,6,6
1614361812,user6,repo4,2,2,2
1614361751,user6,repo4,2,4,4
1614356467,user6,repo4,10,51,54
1614356007,user6,repo4,2,2,2
1614355978,user6,repo4,10,49,52
1614272832,user6,repo4,2,2,2
1614178266,user6,repo4,2,2,2
1614173735,user6,repo4,3,3,3
1614173530,user6,repo4,2,2,2
1614173349,user6,repo4,1,1,1
