name,commits,file_changes,additions,deletions,last_activity,score
repo476,372,7946,653774,2984842,1615477932,12236
repo260,43,1483,609538,533113,1615213972,3831
repo920,62,3192,653494,3003,1615472863,2211
repo795,418,4172,526460,37424,1615300142,1902
repo161,169,1535,289511,123649,1615476733,1391
repo1143,188,1468,247513,140343,1615482926,1307
repo518,580,9671,261158,86206,1615395808,1190
repo1185,20,247,160591,141512,1615312586,1013
repo1243,9,37,278774,1278,1615385214,940
repo250,1089,7349,163298,73267,1615478662,817
